附件1: 哈夫曼编码表（格式为 '全拼编码':[出现次数,'哈夫曼编码']）
zhun: [4, 'jiz']
xiong: [4, 'jix']
tuo: [4, 'jic']
rang: [4, 'jim']
pao: [4, 'jiq']
leng: [4, 'jiw']
lan: [4, 'jiy']
kao: [4, 'jio']
gang: [4, 'jip']
fo: [4, 'flj']
dun: [4, 'flf']
bang: [4, 'flk']
zen: [3, 'fld']
zan: [3, 'fll']
xiu: [3, 'fls']
tuan: [3, 'fla']
tou: [3, 'flg']
tie: [3, 'flh']
tang: [3, 'flv']
mang: [3, 'fli']
long: [3, 'fln']
kun: [3, 'flt']
ku: [3, 'flu']
juan: [3, 'fle']
hun: [3, 'flr']
chou: [3, 'flb']
chen: [3, 'flz']
cao: [3, 'flx']
can: [3, 'flc']
suan: [2, 'flm']
sha: [2, 'flq']
sai: [2, 'flw']
sa: [2, 'fly']
rui: [2, 'flo']
re: [2, 'flp']
qin: [2, 'kxj']
qiao: [2, 'kxf']
peng: [2, 'kxk']
pang: [2, 'kxd']
lve: [2, 'kxl']
luan: [2, 'kxs']
lou: [2, 'kxa']
kua: [2, 'kxg']
ken: [2, 'kxh']
han: [2, 'kxv']
ha: [2, 'kxi']
guai: [2, 'kxn']
cang: [2, 'kxt']
zhuo: [1, 'kxu']
zhua: [1, 'kxe']
zhai: [1, 'kxr']
weng: [1, 'kxb']
tun: [1, 'kxz']
shuang: [1, 'kxx']
ruo: [1, 'kxc']
rao: [1, 'kxm']
qia: [1, 'kxq']
pie: [1, 'kxw']
nuo: [1, 'kxy']
ning: [1, 'kxo']
nie: [1, 'kxp']
nang: [1, 'rxj']
miao: [1, 'rxf']
kui: [1, 'rxk']
hong: [1, 'rxd']
fou: [1, 'rxl']
chuo: [1, 'rxs']
chui: [1, 'rxa']
beng: [1, 'rxg']
ao: [1, 'rxh']
a: [1, 'rxv']
